wave,trust_stratum,spec,thresholded,n_cc,from,to,edge_key,weight,abs_weight,from_domain,to_domain,from_role,to_role,is_focal_edge,is_affect_affect,is_behavior_behavior,is_belief_affect,is_belief_behavior,is_affect_behavior,kind,neighbor,neighbor_domain,focal_rank_within_context
55,high,g05,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.196327612507214,0.196327612507214,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,high,g05,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.140764338519382,0.140764338519382,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,2
55,high,g05,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.127413905783985,0.127413905783985,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,3
55,high,g05,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.102511994485101,0.102511994485101,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,4
55,high,g05,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,-0.0806019517753901,0.0806019517753901,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,5
55,high,g05,False,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0663729854547521,0.0663729854547521,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,6
55,high,g05,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0388961673061934,0.0388961673061934,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
55,high,g05_spearman,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.189745452292701,0.189745452292701,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,high,g05_spearman,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.118697357515695,0.118697357515695,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,2
55,high,g05_spearman,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.105482277829134,0.105482277829134,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,3
55,high,g05_spearman,False,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.084231737860777,0.084231737860777,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,4
55,high,g05_spearman,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0555591737372573,0.0555591737372573,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,5
55,high,g05_spearman,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0374502017319742,0.0374502017319742,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,6
55,high,g05_spearman,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,7
55,high,g05_thr,True,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.214952597150264,0.214952597150264,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,high,g05_thr,True,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.168294033740989,0.168294033740989,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,2
55,high,g05_thr,True,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.142459760904957,0.142459760904957,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,3
55,high,g05_thr,True,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0,0.0,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,4
55,high,g05_thr,True,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0,0.0,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,5
55,high,g05_thr,True,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,6
55,high,g05_thr,True,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
55,high,g075,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.188912575969323,0.188912575969323,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
