wave,trust_stratum,spec,n_cc,neighbor,neighbor_domain,weight,abs_weight,focal_rank_within_context
55,high,g05,309,AFF_FEAR,affect,0.196,0.196,1
55,high,g05,309,USE2_AVOID,behavior,0.141,0.141,2
55,high,g05,309,USE2_SPACE150,behavior,0.127,0.127,3
55,high,g05,309,WORRY_HEALTH_SYSTEM,affect,0.103,0.103,4
55,high,g05,309,USE2_MASK,behavior,-0.081,0.081,5
55,high,g05,309,AFF_WORRY,affect,0.066,0.066,6
55,high,g05,309,USE2_HANDWASH20,behavior,0.039,0.039,7
55,high,g05_spearman,309,AFF_FEAR,affect,0.19,0.19,1
55,high,g05_spearman,309,USE2_SPACE150,behavior,0.119,0.119,2
55,high,g05_spearman,309,USE2_AVOID,behavior,0.105,0.105,3
55,high,g05_spearman,309,AFF_WORRY,affect,0.084,0.084,4
55,high,g05_spearman,309,WORRY_HEALTH_SYSTEM,affect,0.056,0.056,5
55,high,g05_spearman,309,USE2_HANDWASH20,behavior,0.037,0.037,6
55,high,g05_spearman,309,USE2_MASK,behavior,0.0,0.0,7
55,high,g05_thr,309,AFF_FEAR,affect,0.215,0.215,1
55,high,g05_thr,309,USE2_SPACE150,behavior,0.168,0.168,2
55,high,g05_thr,309,USE2_AVOID,behavior,0.142,0.142,3
55,high,g05_thr,309,AFF_WORRY,affect,0.0,0.0,4
55,high,g05_thr,309,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,5
55,high,g05_thr,309,USE2_MASK,behavior,0.0,0.0,6
55,high,g05_thr,309,USE2_HANDWASH20,behavior,0.0,0.0,7
55,high,g075,309,AFF_FEAR,affect,0.189,0.189,1
55,high,g075,309,USE2_AVOID,behavior,0.129,0.129,2
55,high,g075,309,USE2_SPACE150,behavior,0.103,0.103,3
55,high,g075,309,WORRY_HEALTH_SYSTEM,affect,0.088,0.088,4
55,high,g075,309,AFF_WORRY,affect,0.067,0.067,5
55,high,g075,309,USE2_HANDWASH20,behavior,0.019,0.019,6
55,high,g075,309,USE2_MASK,behavior,0.0,0.0,7
55,low,g05,376,AFF_FEAR,affect,0.268,0.268,1
55,low,g05,376,WORRY_HEALTH_SYSTEM,affect,0.187,0.187,2
55,low,g05,376,AFF_WORRY,affect,0.082,0.082,3
55,low,g05,376,USE2_MASK,behavior,0.017,0.017,4
55,low,g05,376,USE2_AVOID,behavior,0.015,0.015,5
55,low,g05,376,USE2_SPACE150,behavior,0.014,0.014,6
55,low,g05,376,USE2_HANDWASH20,behavior,0.005,0.005,7
55,low,g05_spearman,376,AFF_FEAR,affect,0.247,0.247,1
55,low,g05_spearman,376,WORRY_HEALTH_SYSTEM,affect,0.19,0.19,2
55,low,g05_spearman,376,AFF_WORRY,affect,0.076,0.076,3
55,low,g05_spearman,376,USE2_HANDWASH20,behavior,0.031,0.031,4
55,low,g05_spearman,376,USE2_SPACE150,behavior,0.015,0.015,5
55,low,g05_spearman,376,USE2_AVOID,behavior,0.012,0.012,6
55,low,g05_spearman,376,USE2_MASK,behavior,0.0,0.0,7
55,low,g05_thr,376,AFF_FEAR,affect,0.276,0.276,1
55,low,g05_thr,376,WORRY_HEALTH_SYSTEM,affect,0.188,0.188,2
55,low,g05_thr,376,AFF_WORRY,affect,0.0,0.0,3
55,low,g05_thr,376,USE2_MASK,behavior,0.0,0.0,4
55,low,g05_thr,376,USE2_SPACE150,behavior,0.0,0.0,5
55,low,g05_thr,376,USE2_HANDWASH20,behavior,0.0,0.0,6
55,low,g05_thr,376,USE2_AVOID,behavior,0.0,0.0,7
55,low,g075,376,AFF_FEAR,affect,0.268,0.268,1
55,low,g075,376,WORRY_HEALTH_SYSTEM,affect,0.187,0.187,2
55,low,g075,376,AFF_WORRY,affect,0.082,0.082,3
55,low,g075,376,USE2_MASK,behavior,0.017,0.017,4
55,low,g075,376,USE2_AVOID,behavior,0.015,0.015,5
55,low,g075,376,USE2_SPACE150,behavior,0.014,0.014,6
55,low,g075,376,USE2_HANDWASH20,behavior,0.005,0.005,7
56,high,g05,351,AFF_FEAR,affect,0.184,0.184,1
56,high,g05,351,USE2_AVOID,behavior,0.127,0.127,2
56,high,g05,351,USE2_HANDWASH20,behavior,0.103,0.103,3
56,high,g05,351,USE2_SPACE150,behavior,0.065,0.065,4
56,high,g05,351,AFF_WORRY,affect,0.022,0.022,5
56,high,g05,351,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,6
56,high,g05,351,USE2_MASK,behavior,0.0,0.0,7
56,high,g05_spearman,351,AFF_FEAR,affect,0.15,0.15,1
56,high,g05_spearman,351,USE2_AVOID,behavior,0.138,0.138,2
56,high,g05_spearman,351,USE2_SPACE150,behavior,0.085,0.085,3
