file,kind,wave,trust_stratum,n_cc,thresholded,spec
adj_wave55_trusthigh_n309_g05.csv,adjacency,55,high,309,False,g05
edges_wave55_trusthigh_n309_g05.csv,edges,55,high,309,False,g05
adj_wave55_trusthigh_n309_g05_spearman.csv,adjacency,55,high,309,False,g05_spearman
edges_wave55_trusthigh_n309_g05_spearman.csv,edges,55,high,309,False,g05_spearman
adj_wave55_trusthigh_n309_g05_thr.csv,adjacency,55,high,309,True,g05_thr
edges_wave55_trusthigh_n309_g05_thr.csv,edges,55,high,309,True,g05_thr
adj_wave55_trusthigh_n309_g075.csv,adjacency,55,high,309,False,g075
edges_wave55_trusthigh_n309_g075.csv,edges,55,high,309,False,g075
adj_wave55_trustlow_n376_g05.csv,adjacency,55,low,376,False,g05
edges_wave55_trustlow_n376_g05.csv,edges,55,low,376,False,g05
adj_wave55_trustlow_n376_g05_spearman.csv,adjacency,55,low,376,False,g05_spearman
edges_wave55_trustlow_n376_g05_spearman.csv,edges,55,low,376,False,g05_spearman
adj_wave55_trustlow_n376_g05_thr.csv,adjacency,55,low,376,True,g05_thr
edges_wave55_trustlow_n376_g05_thr.csv,edges,55,low,376,True,g05_thr
adj_wave55_trustlow_n376_g075.csv,adjacency,55,low,376,False,g075
edges_wave55_trustlow_n376_g075.csv,edges,55,low,376,False,g075
adj_wave56_trusthigh_n351_g05.csv,adjacency,56,high,351,False,g05
edges_wave56_trusthigh_n351_g05.csv,edges,56,high,351,False,g05
adj_wave56_trusthigh_n351_g05_spearman.csv,adjacency,56,high,351,False,g05_spearman
edges_wave56_trusthigh_n351_g05_spearman.csv,edges,56,high,351,False,g05_spearman
adj_wave56_trusthigh_n351_g05_thr.csv,adjacency,56,high,351,True,g05_thr
edges_wave56_trusthigh_n351_g05_thr.csv,edges,56,high,351,True,g05_thr
adj_wave56_trusthigh_n351_g075.csv,adjacency,56,high,351,False,g075
edges_wave56_trusthigh_n351_g075.csv,edges,56,high,351,False,g075
adj_wave56_trustlow_n383_g05.csv,adjacency,56,low,383,False,g05
edges_wave56_trustlow_n383_g05.csv,edges,56,low,383,False,g05
adj_wave56_trustlow_n383_g05_spearman.csv,adjacency,56,low,383,False,g05_spearman
edges_wave56_trustlow_n383_g05_spearman.csv,edges,56,low,383,False,g05_spearman
adj_wave56_trustlow_n383_g05_thr.csv,adjacency,56,low,383,True,g05_thr
edges_wave56_trustlow_n383_g05_thr.csv,edges,56,low,383,True,g05_thr
adj_wave56_trustlow_n383_g075.csv,adjacency,56,low,383,False,g075
edges_wave56_trustlow_n383_g075.csv,edges,56,low,383,False,g075
adj_wave57_trusthigh_n407_g05.csv,adjacency,57,high,407,False,g05
edges_wave57_trusthigh_n407_g05.csv,edges,57,high,407,False,g05
adj_wave57_trusthigh_n407_g05_spearman.csv,adjacency,57,high,407,False,g05_spearman
edges_wave57_trusthigh_n407_g05_spearman.csv,edges,57,high,407,False,g05_spearman
adj_wave57_trusthigh_n407_g05_thr.csv,adjacency,57,high,407,True,g05_thr
edges_wave57_trusthigh_n407_g05_thr.csv,edges,57,high,407,True,g05_thr
adj_wave57_trusthigh_n407_g075.csv,adjacency,57,high,407,False,g075
edges_wave57_trusthigh_n407_g075.csv,edges,57,high,407,False,g075
adj_wave57_trustlow_n336_g05.csv,adjacency,57,low,336,False,g05
edges_wave57_trustlow_n336_g05.csv,edges,57,low,336,False,g05
adj_wave57_trustlow_n336_g05_spearman.csv,adjacency,57,low,336,False,g05_spearman
edges_wave57_trustlow_n336_g05_spearman.csv,edges,57,low,336,False,g05_spearman
adj_wave57_trustlow_n336_g05_thr.csv,adjacency,57,low,336,True,g05_thr
edges_wave57_trustlow_n336_g05_thr.csv,edges,57,low,336,True,g05_thr
adj_wave57_trustlow_n336_g075.csv,adjacency,57,low,336,False,g075
edges_wave57_trustlow_n336_g075.csv,edges,57,low,336,False,g075
