wave,trust_stratum,spec,n_cc,neighbor,neighbor_domain,weight,abs_weight
55,high,g05,309,AFF_FEAR,affect,0.196,0.196
55,high,g05_spearman,309,AFF_FEAR,affect,0.19,0.19
55,high,g05_thr,309,AFF_FEAR,affect,0.215,0.215
55,high,g075,309,AFF_FEAR,affect,0.189,0.189
55,low,g05,376,AFF_FEAR,affect,0.268,0.268
55,low,g05_spearman,376,AFF_FEAR,affect,0.247,0.247
55,low,g05_thr,376,AFF_FEAR,affect,0.276,0.276
55,low,g075,376,AFF_FEAR,affect,0.268,0.268
56,high,g05,351,AFF_FEAR,affect,0.184,0.184
56,high,g05_spearman,351,AFF_FEAR,affect,0.15,0.15
56,high,g05_thr,351,AFF_FEAR,affect,0.204,0.204
56,high,g075,351,AFF_FEAR,affect,0.184,0.184
56,low,g05,383,AFF_WORRY,affect,0.251,0.251
56,low,g05_spearman,383,AFF_FEAR,affect,0.244,0.244
56,low,g05_thr,383,AFF_WORRY,affect,0.255,0.255
56,low,g075,383,AFF_WORRY,affect,0.251,0.251
57,high,g05,407,AFF_FEAR,affect,0.229,0.229
57,high,g05_spearman,407,AFF_FEAR,affect,0.191,0.191
57,high,g05_thr,407,AFF_FEAR,affect,0.245,0.245
57,high,g075,407,AFF_FEAR,affect,0.229,0.229
57,low,g05,336,AFF_WORRY,affect,0.182,0.182
57,low,g05_spearman,336,AFF_WORRY,affect,0.164,0.164
57,low,g05_thr,336,AFF_WORRY,affect,0.182,0.182
57,low,g075,336,AFF_WORRY,affect,0.182,0.182
