spec,spec_id,gamma_ebic,wave,trust_stratum,n_cc,context_id,network_id,edge_id,from,to,edge_a,edge_b,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_FEAR__AFF_WORRY,AFF_FEAR,AFF_WORRY,AFF_FEAR,AFF_WORRY,0.5773953967834455,0.5601250963464212,0.05011639385882334,0.45658258587738704,0.6468484498121987,1,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_AVOID__USE2_SPACE150,USE2_AVOID,USE2_SPACE150,USE2_AVOID,USE2_SPACE150,0.23794117201823065,0.23291793921770126,0.052969884295411794,0.12388080982809845,0.3361303991520831,1,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_MASK__USE2_SPACE150,USE2_MASK,USE2_SPACE150,USE2_MASK,USE2_SPACE150,0.2135914208761486,0.20077868296656384,0.06549991267099178,0.0663581217058019,0.3198838531446905,0.997,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_HANDWASH20__USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,0.20336355498735834,0.19716488035881544,0.06076647461374164,0.07526566404608773,0.31615420747471085,1,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_FEAR__SEVERITY,AFF_FEAR,SEVERITY,AFF_FEAR,SEVERITY,0.1963276125072141,0.19912282405097212,0.04964673219296397,0.09253926858125618,0.29162456489276967,1,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_HANDWASH20__USE2_MASK,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20,USE2_MASK,0.1832615370381657,0.17059875677859887,0.057138212356283705,0.054651436729063196,0.28380802982468,0.995,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__AFF_FEAR__WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.1779615024282843,0.1737192345307551,0.058308889951233275,0.05372567556032543,0.2805722803758895,0.999,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__USE2_AVOID__USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,0.14458602799239598,0.13963581223970847,0.05290903643583746,0.031491834607609105,0.2422949497214615,0.995,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__SEVERITY__USE2_AVOID,SEVERITY,USE2_AVOID,SEVERITY,USE2_AVOID,0.14076433851938153,0.13117569319387964,0.0521275555904269,0.02478151018970651,0.23460411876197204,0.989,1000
g05,gamma_05,0.5,55,high,309,ctx_w55_high,net_g05_w55_high,net_g05_w55_high__SEVERITY__USE2_SPACE150,SEVERITY,USE2_SPACE150,SEVERITY,USE2_SPACE150,0.12741390578398498,0.12206730750400599,0.056559516354948214,0,0.23535675301697975,0.972,1000
