"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.539986801400581
"USE2_AVOID","USE2_SPACE150",0.259384085037041
"USE2_HANDWASH20","USE2_SPACE150",0.205124520711381
"AFF_FEAR","SEVERITY",0.189745452292701
"USE2_HANDWASH20","USE2_MASK",0.183228830996347
"USE2_MASK","USE2_SPACE150",0.132817972731233
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.129884552643435
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.129080056316981
"SEVERITY","USE2_SPACE150",0.118697357515695
"USE2_AVOID","USE2_HANDWASH20",0.11779884982827
"SEVERITY","USE2_AVOID",0.105482277829134
"AFF_WORRY","SEVERITY",0.084231737860777
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0.0669984904545466
"AFF_WORRY","USE2_AVOID",0.0637624711943333
"SEVERITY","WORRY_HEALTH_SYSTEM",0.0555591737372573
"USE2_AVOID","USE2_MASK",0.0542556819514068
"AFF_FEAR","USE2_AVOID",0.0535904028268263
"AFF_WORRY","USE2_HANDWASH20",0.040280339294695
"SEVERITY","USE2_HANDWASH20",0.0374502017319742
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.0351019968703639
"AFF_FEAR","USE2_MASK",0.0292260816499025
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.0276556639643481
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.0274058972324329
"SEVERITY","USE2_MASK",0
"AFF_WORRY","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_SPACE150",0
"AFF_FEAR","USE2_HANDWASH20",0
