"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.570061509842212
"USE2_MASK","USE2_SPACE150",0.334438534974468
"USE2_AVOID","USE2_SPACE150",0.281241258416819
"AFF_FEAR","SEVERITY",0.276196998867508
"USE2_HANDWASH20","USE2_SPACE150",0.238294074416049
"SEVERITY","WORRY_HEALTH_SYSTEM",0.18764174914738
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.15918239310087
"USE2_AVOID","USE2_MASK",0.158645531575579
"USE2_HANDWASH20","USE2_MASK",0.149784380425383
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.141377361459471
"USE2_AVOID","USE2_HANDWASH20",0.134932803289115
"AFF_FEAR","USE2_AVOID",0.124298205801402
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.10989309956429
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.105358560711893
"AFF_WORRY","SEVERITY",0
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_WORRY","USE2_MASK",0
"SEVERITY","USE2_SPACE150",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"SEVERITY","USE2_AVOID",0
"AFF_WORRY","USE2_AVOID",0
