"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.531144423692983
"USE2_AVOID","USE2_SPACE150",0.261466332588217
"USE2_MASK","USE2_SPACE150",0.253373428608667
"AFF_FEAR","SEVERITY",0.184472929324428
"USE2_HANDWASH20","USE2_MASK",0.179544945105495
"USE2_HANDWASH20","USE2_SPACE150",0.167464336600436
"USE2_AVOID","USE2_HANDWASH20",0.161416094106531
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.129215113141818
"SEVERITY","USE2_AVOID",0.127075033951044
"SEVERITY","USE2_HANDWASH20",0.10326597434691
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.0938326692675476
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.0766582332275105
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.0741027436432377
"AFF_WORRY","USE2_AVOID",0.0685615943391421
"SEVERITY","USE2_SPACE150",0.0654778352644396
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.0533989373204396
"AFF_FEAR","USE2_AVOID",0.0470292017152531
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0.0367245428871753
"AFF_WORRY","SEVERITY",0.0223205463735707
"AFF_FEAR","USE2_SPACE150",0.0112771293148659
"USE2_AVOID","USE2_MASK",0.00801945523360533
"SEVERITY","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_WORRY","USE2_MASK",0
"AFF_WORRY","USE2_SPACE150",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
