"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.522142337680245
"USE2_MASK","USE2_SPACE150",0.350027751562316
"USE2_AVOID","USE2_SPACE150",0.267477724213927
"AFF_WORRY","SEVERITY",0.25053034016802
"USE2_HANDWASH20","USE2_SPACE150",0.240246805655903
"AFF_FEAR","SEVERITY",0.222716478047016
"USE2_AVOID","USE2_HANDWASH20",0.193270876135318
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.166529824308818
"SEVERITY","USE2_AVOID",0.14666766730118
"USE2_HANDWASH20","USE2_MASK",0.140327090154336
"AFF_WORRY","USE2_MASK",0.122296617057614
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.107834671759965
"USE2_AVOID","USE2_MASK",0.0921444858064795
"SEVERITY","WORRY_HEALTH_SYSTEM",0.0695622643782032
"AFF_WORRY","USE2_SPACE150",0.0422068154514394
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0.0279237841159607
"SEVERITY","USE2_SPACE150",0.0274840359837989
"AFF_FEAR","USE2_AVOID",0.0264913354127847
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.0224520941179743
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.00624280781711222
"AFF_FEAR","USE2_MASK",0.00418535556217125
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"AFF_WORRY","USE2_AVOID",0
