"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.503035074330785
"USE2_AVOID","USE2_SPACE150",0.29262961564814
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.280476483798584
"AFF_FEAR","SEVERITY",0.244663534192224
"USE2_HANDWASH20","USE2_MASK",0.217471559127613
"AFF_FEAR","USE2_AVOID",0.117437609661666
"AFF_WORRY","SEVERITY",0
"SEVERITY","WORRY_HEALTH_SYSTEM",0
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0
"USE2_MASK","WORRY_HEALTH_SYSTEM",0
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_WORRY","USE2_MASK",0
"USE2_AVOID","USE2_MASK",0
"SEVERITY","USE2_SPACE150",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_SPACE150",0
"USE2_MASK","USE2_SPACE150",0
"USE2_HANDWASH20","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"USE2_AVOID","USE2_HANDWASH20",0
"SEVERITY","USE2_AVOID",0
"AFF_WORRY","USE2_AVOID",0
