node_instance_id,node_id
net_g05_w55_high__AFF_FEAR,AFF_FEAR
net_g05_w55_high__AFF_WORRY,AFF_WORRY
net_g05_w55_high__SEVERITY,SEVERITY
net_g05_w55_high__USE2_AVOID,USE2_AVOID
net_g05_w55_high__USE2_HANDWASH20,USE2_HANDWASH20
net_g05_w55_high__USE2_MASK,USE2_MASK
net_g05_w55_high__USE2_SPACE150,USE2_SPACE150
net_g05_w55_high__WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM
net_g05_w55_low__AFF_FEAR,AFF_FEAR
net_g05_w55_low__AFF_WORRY,AFF_WORRY
net_g05_w55_low__SEVERITY,SEVERITY
net_g05_w55_low__USE2_AVOID,USE2_AVOID
net_g05_w55_low__USE2_HANDWASH20,USE2_HANDWASH20
net_g05_w55_low__USE2_MASK,USE2_MASK
net_g05_w55_low__USE2_SPACE150,USE2_SPACE150
net_g05_w55_low__WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM
net_g05_w56_high__AFF_FEAR,AFF_FEAR
net_g05_w56_high__AFF_WORRY,AFF_WORRY
net_g05_w56_high__SEVERITY,SEVERITY
net_g05_w56_high__USE2_AVOID,USE2_AVOID
net_g05_w56_high__USE2_HANDWASH20,USE2_HANDWASH20
net_g05_w56_high__USE2_MASK,USE2_MASK
net_g05_w56_high__USE2_SPACE150,USE2_SPACE150
net_g05_w56_high__WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM
net_g05_w56_low__AFF_FEAR,AFF_FEAR
net_g05_w56_low__AFF_WORRY,AFF_WORRY
net_g05_w56_low__SEVERITY,SEVERITY
net_g05_w56_low__USE2_AVOID,USE2_AVOID
net_g05_w56_low__USE2_HANDWASH20,USE2_HANDWASH20
net_g05_w56_low__USE2_MASK,USE2_MASK
net_g05_w56_low__USE2_SPACE150,USE2_SPACE150
net_g05_w56_low__WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM
net_g05_w57_high__AFF_FEAR,AFF_FEAR
net_g05_w57_high__AFF_WORRY,AFF_WORRY
net_g05_w57_high__SEVERITY,SEVERITY
net_g05_w57_high__USE2_AVOID,USE2_AVOID
net_g05_w57_high__USE2_HANDWASH20,USE2_HANDWASH20
net_g05_w57_high__USE2_MASK,USE2_MASK
net_g05_w57_high__USE2_SPACE150,USE2_SPACE150
net_g05_w57_high__WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM
net_g05_w57_low__AFF_FEAR,AFF_FEAR
net_g05_w57_low__AFF_WORRY,AFF_WORRY
net_g05_w57_low__SEVERITY,SEVERITY
net_g05_w57_low__USE2_AVOID,USE2_AVOID
net_g05_w57_low__USE2_HANDWASH20,USE2_HANDWASH20
net_g05_w57_low__USE2_MASK,USE2_MASK
net_g05_w57_low__USE2_SPACE150,USE2_SPACE150
net_g05_w57_low__WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM
