"wave","trust_stratum","n_cc","spec","gamma_ebic","threshold_applied","cor_method","n_edges_nonzero_undirected","n_boots","boot_type","boot_file"
55,"high",309,"g05",0.5,FALSE,"pearson",25,1000,"nonparametric","boot_edges_wave55_trusthigh_n309_g05.rds"
55,"high",309,"g075",0.75,FALSE,"pearson",23,1000,"nonparametric","boot_edges_wave55_trusthigh_n309_g075.rds"
55,"high",309,"g05_thr",0.5,TRUE,"pearson",9,NA,NA,NA
55,"high",309,"g05_spearman",0.5,FALSE,"spearman",23,NA,NA,NA
55,"low",376,"g05",0.5,FALSE,"pearson",23,1000,"nonparametric","boot_edges_wave55_trustlow_n376_g05.rds"
55,"low",376,"g075",0.75,FALSE,"pearson",23,1000,"nonparametric","boot_edges_wave55_trustlow_n376_g075.rds"
55,"low",376,"g05_thr",0.5,TRUE,"pearson",14,NA,NA,NA
55,"low",376,"g05_spearman",0.5,FALSE,"spearman",23,NA,NA,NA
56,"high",351,"g05",0.5,FALSE,"pearson",21,1000,"nonparametric","boot_edges_wave56_trusthigh_n351_g05.rds"
56,"high",351,"g075",0.75,FALSE,"pearson",21,1000,"nonparametric","boot_edges_wave56_trusthigh_n351_g075.rds"
56,"high",351,"g05_thr",0.5,TRUE,"pearson",9,NA,NA,NA
56,"high",351,"g05_spearman",0.5,FALSE,"spearman",22,NA,NA,NA
56,"low",383,"g05",0.5,FALSE,"pearson",21,1000,"nonparametric","boot_edges_wave56_trustlow_n383_g05.rds"
56,"low",383,"g075",0.75,FALSE,"pearson",21,1000,"nonparametric","boot_edges_wave56_trustlow_n383_g075.rds"
56,"low",383,"g05_thr",0.5,TRUE,"pearson",12,NA,NA,NA
56,"low",383,"g05_spearman",0.5,FALSE,"spearman",20,NA,NA,NA
57,"high",407,"g05",0.5,FALSE,"pearson",17,1000,"nonparametric","boot_edges_wave57_trusthigh_n407_g05.rds"
57,"high",407,"g075",0.75,FALSE,"pearson",17,1000,"nonparametric","boot_edges_wave57_trusthigh_n407_g075.rds"
57,"high",407,"g05_thr",0.5,TRUE,"pearson",6,NA,NA,NA
57,"high",407,"g05_spearman",0.5,FALSE,"spearman",16,NA,NA,NA
57,"low",336,"g05",0.5,FALSE,"pearson",22,1000,"nonparametric","boot_edges_wave57_trustlow_n336_g05.rds"
57,"low",336,"g075",0.75,FALSE,"pearson",22,1000,"nonparametric","boot_edges_wave57_trustlow_n336_g075.rds"
57,"low",336,"g05_thr",0.5,TRUE,"pearson",12,NA,NA,NA
57,"low",336,"g05_spearman",0.5,FALSE,"spearman",20,NA,NA,NA
