wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role
55,high,309,g05_spearman,AFF_FEAR,AFF_WORRY,0.539986801400581,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_FEAR,AFF_WORRY,net_g05_spearman_w55_high__AFF_FEAR__AFF_WORRY,0.539986801400581,affect,affect,non_focal,non_focal
55,high,309,g05_spearman,USE2_AVOID,USE2_SPACE150,0.259384085037041,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_AVOID,USE2_SPACE150,net_g05_spearman_w55_high__USE2_AVOID__USE2_SPACE150,0.259384085037041,behavior,behavior,non_focal,non_focal
55,high,309,g05_spearman,USE2_HANDWASH20,USE2_SPACE150,0.205124520711381,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_HANDWASH20,USE2_SPACE150,net_g05_spearman_w55_high__USE2_HANDWASH20__USE2_SPACE150,0.205124520711381,behavior,behavior,non_focal,non_focal
55,high,309,g05_spearman,AFF_FEAR,SEVERITY,0.189745452292701,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_FEAR,SEVERITY,net_g05_spearman_w55_high__AFF_FEAR__SEVERITY,0.189745452292701,affect,belief,non_focal,focal_belief
55,high,309,g05_spearman,USE2_HANDWASH20,USE2_MASK,0.183228830996347,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_HANDWASH20,USE2_MASK,net_g05_spearman_w55_high__USE2_HANDWASH20__USE2_MASK,0.183228830996347,behavior,behavior,non_focal,non_focal
55,high,309,g05_spearman,USE2_MASK,USE2_SPACE150,0.132817972731233,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_MASK,USE2_SPACE150,net_g05_spearman_w55_high__USE2_MASK__USE2_SPACE150,0.132817972731233,behavior,behavior,non_focal,non_focal
55,high,309,g05_spearman,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.129884552643435,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_FEAR,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_high__AFF_FEAR__WORRY_HEALTH_SYSTEM,0.129884552643435,affect,affect,non_focal,non_focal
55,high,309,g05_spearman,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.129080056316981,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_WORRY,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_high__AFF_WORRY__WORRY_HEALTH_SYSTEM,0.129080056316981,affect,affect,non_focal,non_focal
55,high,309,g05_spearman,SEVERITY,USE2_SPACE150,0.118697357515695,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,SEVERITY,USE2_SPACE150,net_g05_spearman_w55_high__SEVERITY__USE2_SPACE150,0.118697357515695,belief,behavior,focal_belief,non_focal
55,high,309,g05_spearman,USE2_AVOID,USE2_HANDWASH20,0.11779884982827,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_AVOID,USE2_HANDWASH20,net_g05_spearman_w55_high__USE2_AVOID__USE2_HANDWASH20,0.11779884982827,behavior,behavior,non_focal,non_focal
55,low,376,g05_spearman,AFF_FEAR,AFF_WORRY,0.557738775494885,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,AFF_FEAR,AFF_WORRY,net_g05_spearman_w55_low__AFF_FEAR__AFF_WORRY,0.557738775494885,affect,affect,non_focal,non_focal
