spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05,55,SEVERITY,USE2_AVOID,0.1257688645970067,0.1257688645970067,376,309,belief,behavior,focal_belief,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,SEVERITY,USE2_SPACE150,0.11373257818927782,0.11373257818927782,376,309,belief,behavior,focal_belief,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,-0.11261567185452759,0.11261567185452759,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,SEVERITY,USE2_MASK,-0.097928961667141,0.097928961667141,376,309,belief,behavior,focal_belief,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,AFF_WORRY,USE2_SPACE150,-0.0705413622572092,0.0705413622572092,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,WORRY_HEALTH_SYSTEM,USE2_MASK,-0.06068863075426621,0.06068863075426621,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,AFF_FEAR,USE2_AVOID,-0.03624115484733931,0.03624115484733931,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,SEVERITY,USE2_HANDWASH20,0.03426529662616749,0.03426529662616749,376,309,belief,behavior,focal_belief,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,AFF_WORRY,USE2_HANDWASH20,0.0316214187016324,0.0316214187016324,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,AFF_WORRY,USE2_AVOID,-0.027635184131116597,0.027635184131116597,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0.0246688000024659,0.0246688000024659,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
g05,55,AFF_FEAR,USE2_MASK,0.0190155425870327,0.0190155425870327,376,309,affect,behavior,non_focal,non_focal,gamma_05,0.5,FALSE,pearson,TRUE,diff_g05_w55_high_minus_low
