wave,trust_stratum,spec,n_cc,GS,n_edges_total,n_edges_nonzero,mean_abs_edge,median_abs_edge,max_abs_edge,S_SEVERITY,S_aff,S_beh,n_focal_neighbors_nonzero,top_neighbor,top_neighbor_domain,top_abs_weight,P_aff,P_beh,focal_share_of_global,S_SEVERITY_high_minus_low,S_aff_high_minus_low,S_beh_high_minus_low,P_aff_high_minus_low,P_beh_high_minus_low,GS_high_minus_low,focal_share_of_global_high_minus_low,focal_domain_dominance,network_density_proxy
55,high,g05,309,2.948,28,25,0.105,0.07,0.577,0.753,0.365,0.388,7,AFF_FEAR,affect,0.196,0.485,0.515,0.255,0.165,-0.172,0.337,-0.429,0.429,-0.229,0.07,behavior-dominant,0.893
55,high,g05_spearman,309,2.687,28,23,0.096,0.06,0.54,0.591,0.33,0.262,6,AFF_FEAR,affect,0.19,0.557,0.443,0.22,0.02,-0.184,0.204,-0.341,0.341,-0.647,0.049,affect-dominant,0.821
55,high,g05_thr,309,2.192,28,9,0.078,0.0,0.597,0.526,0.215,0.311,3,AFF_FEAR,affect,0.215,0.409,0.591,0.24,0.062,-0.249,0.311,-0.591,0.591,-0.78,0.084,behavior-dominant,0.321
55,high,g075,309,2.617,28,23,0.093,0.06,0.552,0.595,0.344,0.251,6,AFF_FEAR,affect,0.189,0.578,0.422,0.227,0.007,-0.193,0.2,-0.335,0.335,-0.56,0.042,affect-dominant,0.821
55,low,g05,376,3.177,28,23,0.113,0.089,0.553,0.587,0.537,0.051,7,AFF_FEAR,affect,0.268,0.914,0.086,0.185,0.165,-0.172,0.337,-0.429,0.429,-0.229,0.07,affect-dominant,0.821
55,low,g05_spearman,376,3.333,28,23,0.119,0.083,0.558,0.571,0.513,0.058,6,AFF_FEAR,affect,0.247,0.898,0.102,0.171,0.02,-0.184,0.204,-0.341,0.341,-0.647,0.049,affect-dominant,0.821
55,low,g05_thr,376,2.971,28,14,0.106,0.053,0.57,0.464,0.464,0.0,2,AFF_FEAR,affect,0.276,1.0,0.0,0.156,0.062,-0.249,0.311,-0.591,0.591,-0.78,0.084,affect-dominant,0.5
55,low,g075,376,3.177,28,23,0.113,0.089,0.553,0.587,0.537,0.051,7,AFF_FEAR,affect,0.268,0.914,0.086,0.185,0.007,-0.193,0.2,-0.335,0.335,-0.56,0.042,affect-dominant,0.821
56,high,g05,351,2.656,28,21,0.095,0.067,0.531,0.503,0.207,0.296,5,AFF_FEAR,affect,0.184,0.411,0.589,0.189,-0.214,-0.336,0.122,-0.346,0.346,-0.393,-0.046,behavior-dominant,0.75
56,high,g05_spearman,351,2.81,28,22,0.1,0.069,0.549,0.531,0.24,0.291,6,AFF_FEAR,affect,0.15,0.452,0.548,0.189,-0.152,-0.285,0.133,-0.317,0.317,-0.23,-0.036,behavior-dominant,0.786
56,high,g05_thr,351,2.154,28,9,0.077,0.0,0.562,0.352,0.204,0.148,2,AFF_FEAR,affect,0.204,0.581,0.419,0.163,-0.281,-0.275,-0.006,-0.177,0.177,-0.647,-0.062,affect-dominant,0.321
56,high,g075,351,2.656,28,21,0.095,0.067,0.531,0.503,0.207,0.296,5,AFF_FEAR,affect,0.184,0.411,0.589,0.189,-0.214,-0.336,0.122,-0.346,0.346,-0.393,-0.046,behavior-dominant,0.75
56,low,g05,383,3.049,28,21,0.109,0.056,0.522,0.717,0.543,0.174,5,AFF_WORRY,affect,0.251,0.757,0.243,0.235,-0.214,-0.336,0.122,-0.346,0.346,-0.393,-0.046,affect-dominant,0.75
56,low,g05_spearman,383,3.04,28,20,0.109,0.051,0.532,0.683,0.525,0.158,4,AFF_FEAR,affect,0.244,0.769,0.231,0.225,-0.152,-0.285,0.133,-0.317,0.317,-0.23,-0.036,affect-dominant,0.714
56,low,g05_thr,383,2.801,28,12,0.1,0.0,0.534,0.632,0.479,0.153,3,AFF_WORRY,affect,0.255,0.757,0.243,0.226,-0.281,-0.275,-0.006,-0.177,0.177,-0.647,-0.062,affect-dominant,0.429
56,low,g075,383,3.049,28,21,0.109,0.056,0.522,0.717,0.543,0.174,5,AFF_WORRY,affect,0.251,0.757,0.243,0.235,-0.214,-0.336,0.122,-0.346,0.346,-0.393,-0.046,affect-dominant,0.75
57,high,g05,407,2.303,28,17,0.082,0.052,0.474,0.364,0.323,0.041,3,AFF_FEAR,affect,0.229,0.888,0.112,0.158,-0.191,-0.085,-0.106,0.153,-0.153,-0.962,-0.012,affect-dominant,0.607
57,high,g05_spearman,407,1.999,28,16,0.071,0.044,0.483,0.315,0.315,0.0,2,AFF_FEAR,affect,0.191,1.0,0.0,0.157,-0.192,-0.078,-0.114,0.224,-0.224,-1.132,-0.004,affect-dominant,0.571
