wave,trust_stratum,spec,thresholded,n_cc,from,to,edge_key,weight,abs_weight,from_domain,to_domain,from_role,to_role,is_focal_edge,is_affect_affect,is_behavior_behavior,is_belief_affect,is_belief_behavior,is_affect_behavior,kind
55,high,g05,False,309,AFF_FEAR,AFF_WORRY,AFF_FEAR -- AFF_WORRY,0.577395396783446,0.577395396783446,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g05,False,309,USE2_AVOID,USE2_SPACE150,USE2_AVOID -- USE2_SPACE150,0.237941172018231,0.237941172018231,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05,False,309,USE2_MASK,USE2_SPACE150,USE2_MASK -- USE2_SPACE150,0.213591420876149,0.213591420876149,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05,False,309,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20 -- USE2_SPACE150,0.203363554987358,0.203363554987358,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.196327612507214,0.196327612507214,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges
55,high,g05,False,309,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20 -- USE2_MASK,0.183261537038166,0.183261537038166,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05,False,309,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR -- WORRY_HEALTH_SYSTEM,0.177961502428284,0.177961502428284,affect,affect,non_focal,non_focal,False,True,False,False,False,False,edges
55,high,g05,False,309,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID -- USE2_HANDWASH20,0.144586027992396,0.144586027992396,behavior,behavior,non_focal,non_focal,False,False,True,False,False,False,edges
55,high,g05,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.140764338519382,0.140764338519382,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.127413905783985,0.127413905783985,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.102511994485101,0.102511994485101,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges
55,high,g05,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,-0.0806019517753901,0.0806019517753901,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges
55,high,g05,False,309,USE2_MASK,WORRY_HEALTH_SYSTEM,USE2_MASK -- WORRY_HEALTH_SYSTEM,0.0780150510238488,0.0780150510238488,behavior,affect,non_focal,non_focal,False,False,False,False,False,True,edges
55,high,g05,False,309,AFF_FEAR,USE2_AVOID,AFF_FEAR -- USE2_AVOID,0.0711266175466007,0.0711266175466007,affect,behavior,non_focal,non_focal,False,False,False,False,False,True,edges
