wave,trust_stratum,spec,n_cc,neighbor,neighbor_domain,weight,abs_weight
55,high,g05,309,AFF_FEAR,affect,0.196327612507214,0.196327612507214
55,high,g05_spearman,309,AFF_FEAR,affect,0.189745452292701,0.189745452292701
55,high,g05_thr,309,AFF_FEAR,affect,0.214952597150264,0.214952597150264
55,high,g075,309,AFF_FEAR,affect,0.188912575969323,0.188912575969323
55,low,g05,376,AFF_FEAR,affect,0.267758140236528,0.267758140236528
55,low,g05_spearman,376,AFF_FEAR,affect,0.247374790353336,0.247374790353336
55,low,g05_thr,376,AFF_FEAR,affect,0.276196998867508,0.276196998867508
55,low,g075,376,AFF_FEAR,affect,0.267758140236528,0.267758140236528
56,high,g05,351,AFF_FEAR,affect,0.184472929324428,0.184472929324428
56,high,g05_spearman,351,AFF_FEAR,affect,0.149666946070499,0.149666946070499
56,high,g05_thr,351,AFF_FEAR,affect,0.204369172564096,0.204369172564096
56,high,g075,351,AFF_FEAR,affect,0.184472929324428,0.184472929324428
56,low,g05,383,AFF_WORRY,affect,0.25053034016802,0.25053034016802
56,low,g05_spearman,383,AFF_FEAR,affect,0.244316734085197,0.244316734085197
56,low,g05_thr,383,AFF_WORRY,affect,0.254913023999908,0.254913023999908
56,low,g075,383,AFF_WORRY,affect,0.25053034016802,0.25053034016802
57,high,g05,407,AFF_FEAR,affect,0.228946825539151,0.228946825539151
57,high,g05_spearman,407,AFF_FEAR,affect,0.191057018010504,0.191057018010504
57,high,g05_thr,407,AFF_FEAR,affect,0.244663534192224,0.244663534192224
57,high,g075,407,AFF_FEAR,affect,0.228946825539151,0.228946825539151
57,low,g05,336,AFF_WORRY,affect,0.181542860019941,0.181542860019941
57,low,g05_spearman,336,AFF_WORRY,affect,0.164149863157858,0.164149863157858
57,low,g05_thr,336,AFF_WORRY,affect,0.181923687523036,0.181923687523036
57,low,g075,336,AFF_WORRY,affect,0.181542860019941,0.181542860019941
