spec,wave,trust_stratum,n_cc,n_edges_nonzero,n_bridge_edges,beh_degree_mean,beh_degree_min,beh_strength_mean,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id
g05,55,high,309,25,13,6.25,5,0.6982227193938135,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high
g05,55,low,376,23,11,5.75,5,0.7857289805102716,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low
g05,56,high,351,21,10,5.5,4,0.6916435356107571,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high
g05,56,low,383,21,9,5.25,3,0.7482349949691487,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low
g05,57,high,407,17,6,4.5,4,0.4964156044475206,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high
g05,57,low,336,22,10,5.5,4,0.8297971778349726,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low
g05_spearman,55,high,309,23,11,5.75,5,0.6277177657689024,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high
g05_spearman,55,low,376,23,11,5.75,5,0.83378186213267,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low
g05_spearman,56,high,351,22,10,5.5,4,0.7252624459777162,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high
g05_spearman,56,low,383,20,8,5,3,0.7510329060510437,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low
g05_spearman,57,high,407,16,5,4.25,4,0.38504105933240224,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_high,net_g05_spearman_w57_high
g05_spearman,57,low,336,20,8,5,3,0.7979707403818044,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low
g05_thr,55,high,309,9,2,2.5,2,0.5226237626260375,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high
g05_thr,55,low,376,14,3,3.75,3,0.7548827816391424,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_low,net_g05_thr_w55_low
g05_thr,56,high,351,9,1,2.75,2,0.5837583780498313,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high
g05_thr,56,low,383,12,2,3,3,0.6845737066340007,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low
g05_thr,57,high,407,6,1,1.25,1,0.284409989803293,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_high,net_g05_thr_w57_high
g05_thr,57,low,336,12,3,3.25,3,0.7669411479685326,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w57_low,net_g05_thr_w57_low
g075,55,high,309,23,11,5.75,4,0.6090275853340443,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_high,net_g075_w55_high
g075,55,low,376,23,11,5.75,5,0.7857289805102716,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_low,net_g075_w55_low
g075,56,high,351,21,10,5.5,4,0.6916435356107571,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w56_high,net_g075_w56_high
g075,56,low,383,21,9,5.25,3,0.7482349949691487,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w56_low,net_g075_w56_low
g075,57,high,407,17,6,4.5,4,0.4964156044475206,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w57_high,net_g075_w57_high
g075,57,low,336,22,10,5.5,4,0.8297971778349726,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w57_low,net_g075_w57_low
