"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.577395396783446
"USE2_AVOID","USE2_SPACE150",0.237941172018231
"USE2_MASK","USE2_SPACE150",0.213591420876149
"USE2_HANDWASH20","USE2_SPACE150",0.203363554987358
"AFF_FEAR","SEVERITY",0.196327612507214
"USE2_HANDWASH20","USE2_MASK",0.183261537038166
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.177961502428284
"USE2_AVOID","USE2_HANDWASH20",0.144586027992396
"SEVERITY","USE2_AVOID",0.140764338519382
"SEVERITY","USE2_SPACE150",0.127413905783985
"SEVERITY","WORRY_HEALTH_SYSTEM",0.102511994485101
"SEVERITY","USE2_MASK",-0.0806019517753901
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.0780150510238488
"AFF_FEAR","USE2_AVOID",0.0711266175466007
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.0694854700414606
"AFF_WORRY","SEVERITY",0.0663729854547521
"USE2_AVOID","USE2_MASK",0.0517400953753027
"SEVERITY","USE2_HANDWASH20",0.0388961673061934
"AFF_WORRY","USE2_AVOID",0.0348509279979277
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.0347831789809294
"AFF_WORRY","USE2_HANDWASH20",0.0316214187016324
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.0295123252644214
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0.0246688000024659
"AFF_FEAR","USE2_MASK",0.0190155425870327
"AFF_FEAR","USE2_HANDWASH20",0.0126530355102393
"AFF_WORRY","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_SPACE150",0
