"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.596641701974303
"USE2_AVOID","USE2_SPACE150",0.249716943562804
"USE2_MASK","USE2_SPACE150",0.23540831796455
"AFF_FEAR","SEVERITY",0.214952597150264
"USE2_HANDWASH20","USE2_SPACE150",0.208992309764026
"USE2_HANDWASH20","USE2_MASK",0.195753056637722
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.179415582009043
"SEVERITY","USE2_SPACE150",0.168294033740989
"SEVERITY","USE2_AVOID",0.142459760904957
"AFF_WORRY","SEVERITY",0
"SEVERITY","WORRY_HEALTH_SYSTEM",0
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0
"USE2_MASK","WORRY_HEALTH_SYSTEM",0
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_WORRY","USE2_MASK",0
"USE2_AVOID","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"USE2_AVOID","USE2_HANDWASH20",0
"AFF_FEAR","USE2_AVOID",0
"AFF_WORRY","USE2_AVOID",0
