"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.557738775494885
"USE2_AVOID","USE2_SPACE150",0.275788548983608
"USE2_MASK","USE2_SPACE150",0.271346125819454
"AFF_FEAR","SEVERITY",0.247374790353336
"USE2_HANDWASH20","USE2_SPACE150",0.245415186264981
"USE2_AVOID","USE2_MASK",0.20803422443861
"SEVERITY","WORRY_HEALTH_SYSTEM",0.18964978258222
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0.185921192606969
"USE2_HANDWASH20","USE2_MASK",0.165354968312422
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.155710771803926
"AFF_FEAR","USE2_AVOID",0.130623556212654
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0.129627914042442
"USE2_AVOID","USE2_HANDWASH20",0.126466355734824
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.0899576046142327
"AFF_WORRY","SEVERITY",0.0763740879517376
"AFF_WORRY","USE2_SPACE150",0.0713666628548888
"AFF_WORRY","USE2_AVOID",0.0591581764774365
"AFF_FEAR","USE2_HANDWASH20",-0.0587979702765218
"SEVERITY","USE2_HANDWASH20",0.0313524413513409
"AFF_WORRY","USE2_MASK",0.0213139808005594
"SEVERITY","USE2_SPACE150",0.0147679451240536
"SEVERITY","USE2_AVOID",0.0119719834614411
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.00933194845309085
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_HANDWASH20",0
