"from","to","weight"
"AFF_FEAR","AFF_WORRY",0.67431879846331
"USE2_AVOID","USE2_SPACE150",0.33648742311672
"USE2_MASK","USE2_SPACE150",0.296531930462271
"USE2_HANDWASH20","USE2_SPACE150",0.283617756268359
"USE2_HANDWASH20","USE2_MASK",0.230601184690827
"AFF_WORRY","SEVERITY",0.181923687523036
"USE2_AVOID","USE2_HANDWASH20",0.179438901709401
"AFF_WORRY","WORRY_HEALTH_SYSTEM",0.17888189599718
"USE2_MASK","WORRY_HEALTH_SYSTEM",0.173084571515255
"USE2_AVOID","WORRY_HEALTH_SYSTEM",0.149281033955765
"SEVERITY","WORRY_HEALTH_SYSTEM",0.144283593508917
"AFF_WORRY","USE2_MASK",0.0920445939079548
"AFF_FEAR","SEVERITY",0
"AFF_FEAR","WORRY_HEALTH_SYSTEM",0
"USE2_SPACE150","WORRY_HEALTH_SYSTEM",0
"USE2_HANDWASH20","WORRY_HEALTH_SYSTEM",0
"SEVERITY","USE2_MASK",0
"AFF_FEAR","USE2_MASK",0
"USE2_AVOID","USE2_MASK",0
"SEVERITY","USE2_SPACE150",0
"AFF_FEAR","USE2_SPACE150",0
"AFF_WORRY","USE2_SPACE150",0
"SEVERITY","USE2_HANDWASH20",0
"AFF_FEAR","USE2_HANDWASH20",0
"AFF_WORRY","USE2_HANDWASH20",0
"SEVERITY","USE2_AVOID",0
"AFF_FEAR","USE2_AVOID",0
"AFF_WORRY","USE2_AVOID",0
