wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role
55,high,309,g05,SEVERITY,USE2_AVOID,0.140764338519382,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,SEVERITY,USE2_AVOID,net_g05_w55_high__SEVERITY__USE2_AVOID,0.140764338519382,belief,behavior,focal_belief,non_focal
55,high,309,g05,SEVERITY,USE2_SPACE150,0.127413905783985,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,SEVERITY,USE2_SPACE150,net_g05_w55_high__SEVERITY__USE2_SPACE150,0.127413905783985,belief,behavior,focal_belief,non_focal
55,high,309,g05,SEVERITY,USE2_MASK,-0.0806019517753901,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,SEVERITY,USE2_MASK,net_g05_w55_high__SEVERITY__USE2_MASK,0.0806019517753901,belief,behavior,focal_belief,non_focal
55,high,309,g05,SEVERITY,USE2_HANDWASH20,0.0388961673061934,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,SEVERITY,USE2_HANDWASH20,net_g05_w55_high__SEVERITY__USE2_HANDWASH20,0.0388961673061934,belief,behavior,focal_belief,non_focal
55,low,376,g05,SEVERITY,USE2_MASK,0.0173270098917509,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_MASK,net_g05_w55_low__SEVERITY__USE2_MASK,0.0173270098917509,belief,behavior,focal_belief,non_focal
55,low,376,g05,SEVERITY,USE2_AVOID,0.0149954739223753,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_AVOID,net_g05_w55_low__SEVERITY__USE2_AVOID,0.0149954739223753,belief,behavior,focal_belief,non_focal
55,low,376,g05,SEVERITY,USE2_SPACE150,0.0136813275947072,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_SPACE150,net_g05_w55_low__SEVERITY__USE2_SPACE150,0.0136813275947072,belief,behavior,focal_belief,non_focal
55,low,376,g05,SEVERITY,USE2_HANDWASH20,0.00463087068002591,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_HANDWASH20,net_g05_w55_low__SEVERITY__USE2_HANDWASH20,0.00463087068002591,belief,behavior,focal_belief,non_focal
56,high,351,g05,SEVERITY,USE2_AVOID,0.127075033951044,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_AVOID,net_g05_w56_high__SEVERITY__USE2_AVOID,0.127075033951044,belief,behavior,focal_belief,non_focal
56,high,351,g05,SEVERITY,USE2_HANDWASH20,0.10326597434691,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_HANDWASH20,net_g05_w56_high__SEVERITY__USE2_HANDWASH20,0.10326597434691,belief,behavior,focal_belief,non_focal
56,high,351,g05,SEVERITY,USE2_SPACE150,0.0654778352644396,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_SPACE150,net_g05_w56_high__SEVERITY__USE2_SPACE150,0.0654778352644396,belief,behavior,focal_belief,non_focal
56,low,383,g05,SEVERITY,USE2_AVOID,0.14666766730118,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,SEVERITY,USE2_AVOID,net_g05_w56_low__SEVERITY__USE2_AVOID,0.14666766730118,belief,behavior,focal_belief,non_focal
56,low,383,g05,SEVERITY,USE2_SPACE150,0.0274840359837989,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,SEVERITY,USE2_SPACE150,net_g05_w56_low__SEVERITY__USE2_SPACE150,0.0274840359837989,belief,behavior,focal_belief,non_focal
57,high,407,g05,SEVERITY,USE2_HANDWASH20,0.0408160253815509,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,SEVERITY,USE2_HANDWASH20,net_g05_w57_high__SEVERITY__USE2_HANDWASH20,0.0408160253815509,belief,behavior,focal_belief,non_focal
57,low,336,g05,SEVERITY,USE2_AVOID,0.0950565129638646,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,SEVERITY,USE2_AVOID,net_g05_w57_low__SEVERITY__USE2_AVOID,0.0950565129638646,belief,behavior,focal_belief,non_focal
57,low,336,g05,SEVERITY,USE2_SPACE150,0.0518376003125831,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,SEVERITY,USE2_SPACE150,net_g05_w57_low__SEVERITY__USE2_SPACE150,0.0518376003125831,belief,behavior,focal_belief,non_focal
55,high,309,g05_spearman,SEVERITY,USE2_SPACE150,0.118697357515695,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,SEVERITY,USE2_SPACE150,net_g05_spearman_w55_high__SEVERITY__USE2_SPACE150,0.118697357515695,belief,behavior,focal_belief,non_focal
55,high,309,g05_spearman,SEVERITY,USE2_AVOID,0.105482277829134,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,SEVERITY,USE2_AVOID,net_g05_spearman_w55_high__SEVERITY__USE2_AVOID,0.105482277829134,belief,behavior,focal_belief,non_focal
55,high,309,g05_spearman,SEVERITY,USE2_HANDWASH20,0.0374502017319742,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,SEVERITY,USE2_HANDWASH20,net_g05_spearman_w55_high__SEVERITY__USE2_HANDWASH20,0.0374502017319742,belief,behavior,focal_belief,non_focal
55,low,376,g05_spearman,SEVERITY,USE2_HANDWASH20,0.0313524413513409,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,SEVERITY,USE2_HANDWASH20,net_g05_spearman_w55_low__SEVERITY__USE2_HANDWASH20,0.0313524413513409,belief,behavior,focal_belief,non_focal
55,low,376,g05_spearman,SEVERITY,USE2_SPACE150,0.0147679451240536,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,SEVERITY,USE2_SPACE150,net_g05_spearman_w55_low__SEVERITY__USE2_SPACE150,0.0147679451240536,belief,behavior,focal_belief,non_focal
55,low,376,g05_spearman,SEVERITY,USE2_AVOID,0.0119719834614411,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,SEVERITY,USE2_AVOID,net_g05_spearman_w55_low__SEVERITY__USE2_AVOID,0.0119719834614411,belief,behavior,focal_belief,non_focal
56,high,351,g05_spearman,SEVERITY,USE2_AVOID,0.138243245161583,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,SEVERITY,USE2_AVOID,net_g05_spearman_w56_high__SEVERITY__USE2_AVOID,0.138243245161583,belief,behavior,focal_belief,non_focal
56,high,351,g05_spearman,SEVERITY,USE2_SPACE150,0.0852825860087156,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,SEVERITY,USE2_SPACE150,net_g05_spearman_w56_high__SEVERITY__USE2_SPACE150,0.0852825860087156,belief,behavior,focal_belief,non_focal
56,high,351,g05_spearman,SEVERITY,USE2_HANDWASH20,0.0678780483034123,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,SEVERITY,USE2_HANDWASH20,net_g05_spearman_w56_high__SEVERITY__USE2_HANDWASH20,0.0678780483034123,belief,behavior,focal_belief,non_focal
56,low,383,g05_spearman,SEVERITY,USE2_AVOID,0.158154120584315,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,SEVERITY,USE2_AVOID,net_g05_spearman_w56_low__SEVERITY__USE2_AVOID,0.158154120584315,belief,behavior,focal_belief,non_focal
57,low,336,g05_spearman,SEVERITY,USE2_AVOID,0.0985463956030512,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,SEVERITY,USE2_AVOID,net_g05_spearman_w57_low__SEVERITY__USE2_AVOID,0.0985463956030512,belief,behavior,focal_belief,non_focal
57,low,336,g05_spearman,SEVERITY,USE2_SPACE150,0.0149772185820331,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_low,net_g05_spearman_w57_low,SEVERITY,USE2_SPACE150,net_g05_spearman_w57_low__SEVERITY__USE2_SPACE150,0.0149772185820331,belief,behavior,focal_belief,non_focal
55,high,309,g05_thr,SEVERITY,USE2_SPACE150,0.168294033740989,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,SEVERITY,USE2_SPACE150,net_g05_thr_w55_high__SEVERITY__USE2_SPACE150,0.168294033740989,belief,behavior,focal_belief,non_focal
55,high,309,g05_thr,SEVERITY,USE2_AVOID,0.142459760904957,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w55_high,net_g05_thr_w55_high,SEVERITY,USE2_AVOID,net_g05_thr_w55_high__SEVERITY__USE2_AVOID,0.142459760904957,belief,behavior,focal_belief,non_focal
56,high,351,g05_thr,SEVERITY,USE2_HANDWASH20,0.147617307207555,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_high,net_g05_thr_w56_high,SEVERITY,USE2_HANDWASH20,net_g05_thr_w56_high__SEVERITY__USE2_HANDWASH20,0.147617307207555,belief,behavior,focal_belief,non_focal
56,low,383,g05_thr,SEVERITY,USE2_AVOID,0.153446108833217,gamma_05_thr,0.5,TRUE,pearson,FALSE,ctx_w56_low,net_g05_thr_w56_low,SEVERITY,USE2_AVOID,net_g05_thr_w56_low__SEVERITY__USE2_AVOID,0.153446108833217,belief,behavior,focal_belief,non_focal
55,high,309,g075,SEVERITY,USE2_AVOID,0.128780970717432,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_high,net_g075_w55_high,SEVERITY,USE2_AVOID,net_g075_w55_high__SEVERITY__USE2_AVOID,0.128780970717432,belief,behavior,focal_belief,non_focal
55,high,309,g075,SEVERITY,USE2_SPACE150,0.103125870818401,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_high,net_g075_w55_high,SEVERITY,USE2_SPACE150,net_g075_w55_high__SEVERITY__USE2_SPACE150,0.103125870818401,belief,behavior,focal_belief,non_focal
55,high,309,g075,SEVERITY,USE2_HANDWASH20,0.0188382309255863,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_high,net_g075_w55_high,SEVERITY,USE2_HANDWASH20,net_g075_w55_high__SEVERITY__USE2_HANDWASH20,0.0188382309255863,belief,behavior,focal_belief,non_focal
55,low,376,g075,SEVERITY,USE2_MASK,0.0173270098917509,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_low,net_g075_w55_low,SEVERITY,USE2_MASK,net_g075_w55_low__SEVERITY__USE2_MASK,0.0173270098917509,belief,behavior,focal_belief,non_focal
55,low,376,g075,SEVERITY,USE2_AVOID,0.0149954739223753,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_low,net_g075_w55_low,SEVERITY,USE2_AVOID,net_g075_w55_low__SEVERITY__USE2_AVOID,0.0149954739223753,belief,behavior,focal_belief,non_focal
55,low,376,g075,SEVERITY,USE2_SPACE150,0.0136813275947072,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_low,net_g075_w55_low,SEVERITY,USE2_SPACE150,net_g075_w55_low__SEVERITY__USE2_SPACE150,0.0136813275947072,belief,behavior,focal_belief,non_focal
55,low,376,g075,SEVERITY,USE2_HANDWASH20,0.00463087068002591,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w55_low,net_g075_w55_low,SEVERITY,USE2_HANDWASH20,net_g075_w55_low__SEVERITY__USE2_HANDWASH20,0.00463087068002591,belief,behavior,focal_belief,non_focal
56,high,351,g075,SEVERITY,USE2_AVOID,0.127075033951044,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w56_high,net_g075_w56_high,SEVERITY,USE2_AVOID,net_g075_w56_high__SEVERITY__USE2_AVOID,0.127075033951044,belief,behavior,focal_belief,non_focal
56,high,351,g075,SEVERITY,USE2_HANDWASH20,0.10326597434691,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w56_high,net_g075_w56_high,SEVERITY,USE2_HANDWASH20,net_g075_w56_high__SEVERITY__USE2_HANDWASH20,0.10326597434691,belief,behavior,focal_belief,non_focal
56,high,351,g075,SEVERITY,USE2_SPACE150,0.0654778352644396,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w56_high,net_g075_w56_high,SEVERITY,USE2_SPACE150,net_g075_w56_high__SEVERITY__USE2_SPACE150,0.0654778352644396,belief,behavior,focal_belief,non_focal
56,low,383,g075,SEVERITY,USE2_AVOID,0.14666766730118,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w56_low,net_g075_w56_low,SEVERITY,USE2_AVOID,net_g075_w56_low__SEVERITY__USE2_AVOID,0.14666766730118,belief,behavior,focal_belief,non_focal
56,low,383,g075,SEVERITY,USE2_SPACE150,0.0274840359837989,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w56_low,net_g075_w56_low,SEVERITY,USE2_SPACE150,net_g075_w56_low__SEVERITY__USE2_SPACE150,0.0274840359837989,belief,behavior,focal_belief,non_focal
57,high,407,g075,SEVERITY,USE2_HANDWASH20,0.0408160253815509,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w57_high,net_g075_w57_high,SEVERITY,USE2_HANDWASH20,net_g075_w57_high__SEVERITY__USE2_HANDWASH20,0.0408160253815509,belief,behavior,focal_belief,non_focal
57,low,336,g075,SEVERITY,USE2_AVOID,0.0950565129638646,gamma_075,0.75,FALSE,pearson,FALSE,ctx_w57_low,net_g075_w57_low,SEVERITY,USE2_AVOID,net_g075_w57_low__SEVERITY__USE2_AVOID,0.0950565129638646,belief,behavior,focal_belief,non_focal
