edge_id,network_id,context_id,spec_id,from,to,edge_a,edge_b,weight,abs_weight,from_domain,to_domain,from_role,to_role,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot,edge_instance_id,from_node_instance_id,to_node_instance_id
net_g05_w55_high__AFF_FEAR__AFF_WORRY,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_FEAR,AFF_WORRY,AFF_FEAR,AFF_WORRY,0.577395396783446,0.577395396783446,affect,affect,non_focal,non_focal,0.5773953967834455,0.5601250963464212,0.0501163938588233,0.456582585877387,0.6468484498121987,1.0,1000.0,net_g05_w55_high__AFF_FEAR__AFF_WORRY,net_g05_w55_high__AFF_FEAR,net_g05_w55_high__AFF_WORRY
net_g05_w55_high__USE2_AVOID__USE2_SPACE150,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_AVOID,USE2_SPACE150,USE2_AVOID,USE2_SPACE150,0.237941172018231,0.237941172018231,behavior,behavior,non_focal,non_focal,0.2379411720182306,0.2329179392177012,0.0529698842954117,0.1238808098280984,0.3361303991520831,1.0,1000.0,net_g05_w55_high__USE2_AVOID__USE2_SPACE150,net_g05_w55_high__USE2_AVOID,net_g05_w55_high__USE2_SPACE150
net_g05_w55_high__USE2_MASK__USE2_SPACE150,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_MASK,USE2_SPACE150,USE2_MASK,USE2_SPACE150,0.213591420876149,0.213591420876149,behavior,behavior,non_focal,non_focal,0.2135914208761486,0.2007786829665638,0.0654999126709917,0.0663581217058019,0.3198838531446905,0.997,1000.0,net_g05_w55_high__USE2_MASK__USE2_SPACE150,net_g05_w55_high__USE2_MASK,net_g05_w55_high__USE2_SPACE150
net_g05_w55_high__USE2_HANDWASH20__USE2_SPACE150,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_HANDWASH20,USE2_SPACE150,USE2_HANDWASH20,USE2_SPACE150,0.203363554987358,0.203363554987358,behavior,behavior,non_focal,non_focal,0.2033635549873583,0.1971648803588154,0.0607664746137416,0.0752656640460877,0.3161542074747108,1.0,1000.0,net_g05_w55_high__USE2_HANDWASH20__USE2_SPACE150,net_g05_w55_high__USE2_HANDWASH20,net_g05_w55_high__USE2_SPACE150
net_g05_w55_high__AFF_FEAR__SEVERITY,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_FEAR,SEVERITY,AFF_FEAR,SEVERITY,0.196327612507214,0.196327612507214,affect,belief,non_focal,focal_belief,0.1963276125072141,0.1991228240509721,0.0496467321929639,0.0925392685812561,0.2916245648927696,1.0,1000.0,net_g05_w55_high__AFF_FEAR__SEVERITY,net_g05_w55_high__AFF_FEAR,net_g05_w55_high__SEVERITY
net_g05_w55_high__USE2_HANDWASH20__USE2_MASK,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_HANDWASH20,USE2_MASK,USE2_HANDWASH20,USE2_MASK,0.183261537038166,0.183261537038166,behavior,behavior,non_focal,non_focal,0.1832615370381657,0.1705987567785988,0.0571382123562837,0.0546514367290631,0.28380802982468,0.995,1000.0,net_g05_w55_high__USE2_HANDWASH20__USE2_MASK,net_g05_w55_high__USE2_HANDWASH20,net_g05_w55_high__USE2_MASK
net_g05_w55_high__AFF_FEAR__WORRY_HEALTH_SYSTEM,net_g05_w55_high,ctx_w55_high,gamma_05,AFF_FEAR,WORRY_HEALTH_SYSTEM,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.177961502428284,0.177961502428284,affect,affect,non_focal,non_focal,0.1779615024282843,0.1737192345307551,0.0583088899512332,0.0537256755603254,0.2805722803758895,0.999,1000.0,net_g05_w55_high__AFF_FEAR__WORRY_HEALTH_SYSTEM,net_g05_w55_high__AFF_FEAR,net_g05_w55_high__WORRY_HEALTH_SYSTEM
net_g05_w55_high__USE2_AVOID__USE2_HANDWASH20,net_g05_w55_high,ctx_w55_high,gamma_05,USE2_AVOID,USE2_HANDWASH20,USE2_AVOID,USE2_HANDWASH20,0.144586027992396,0.144586027992396,behavior,behavior,non_focal,non_focal,0.1445860279923959,0.1396358122397084,0.0529090364358374,0.0314918346076091,0.2422949497214615,0.995,1000.0,net_g05_w55_high__USE2_AVOID__USE2_HANDWASH20,net_g05_w55_high__USE2_AVOID,net_g05_w55_high__USE2_HANDWASH20
net_g05_w55_high__SEVERITY__USE2_AVOID,net_g05_w55_high,ctx_w55_high,gamma_05,SEVERITY,USE2_AVOID,SEVERITY,USE2_AVOID,0.140764338519382,0.140764338519382,belief,behavior,focal_belief,non_focal,0.1407643385193815,0.1311756931938796,0.0521275555904269,0.0247815101897065,0.234604118761972,0.989,1000.0,net_g05_w55_high__SEVERITY__USE2_AVOID,net_g05_w55_high__SEVERITY,net_g05_w55_high__USE2_AVOID
net_g05_w55_high__SEVERITY__USE2_SPACE150,net_g05_w55_high,ctx_w55_high,gamma_05,SEVERITY,USE2_SPACE150,SEVERITY,USE2_SPACE150,0.127413905783985,0.127413905783985,belief,behavior,focal_belief,non_focal,0.1274139057839849,0.1220673075040059,0.0565595163549482,0.0,0.2353567530169797,0.972,1000.0,net_g05_w55_high__SEVERITY__USE2_SPACE150,net_g05_w55_high__SEVERITY,net_g05_w55_high__USE2_SPACE150
