spec,wave,trust_stratum,n_cc,node,node_id,degree,strength,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,domain,role
g05,55,high,309,AFF_FEAR,AFF_FEAR,6,1.0544797073628167,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,affect,non_focal
g05,55,high,309,AFF_WORRY,AFF_WORRY,5,0.7797261989792188,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,affect,non_focal
g05,55,high,309,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,7,0.5169383222265111,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,affect,non_focal
g05,55,high,309,USE2_AVOID,USE2_AVOID,7,0.7157923584307695,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,behavior,non_focal
g05,55,high,309,USE2_HANDWASH20,USE2_HANDWASH20,7,0.6438940668004065,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,behavior,non_focal
g05,55,high,309,USE2_MASK,USE2_MASK,6,0.6262255986758893,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,behavior,non_focal
g05,55,high,309,USE2_SPACE150,USE2_SPACE150,5,0.8069788536681889,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,behavior,non_focal
g05,55,high,309,SEVERITY,SEVERITY,7,0.7528889558320176,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_high,net_g05_w55_high,belief,focal_belief
g05,55,low,376,AFF_FEAR,AFF_FEAR,4,1.0237396407880461,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,affect,non_focal
g05,55,low,376,AFF_WORRY,AFF_WORRY,6,0.8947344675351271,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,affect,non_focal
g05,55,low,376,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.7061330106379401,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,affect,non_focal
g05,55,low,376,USE2_AVOID,USE2_AVOID,7,0.7738489695142686,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,behavior,non_focal
g05,55,low,376,USE2_HANDWASH20,USE2_HANDWASH20,5,0.6462332261829659,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,behavior,non_focal
g05,55,low,376,USE2_MASK,USE2_MASK,6,0.8040626599097914,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,behavior,non_focal
g05,55,low,376,USE2_SPACE150,USE2_SPACE150,5,0.9187710664340604,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,behavior,non_focal
g05,55,low,376,SEVERITY,SEVERITY,7,0.5874761104088834,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,belief,focal_belief
g05,56,high,351,AFF_FEAR,AFF_FEAR,5,0.903138797189348,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,affect,non_focal
g05,56,high,351,AFF_WORRY,AFF_WORRY,4,0.6754255017261354,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,affect,non_focal
g05,56,high,351,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.4639322394877287,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,affect,non_focal
g05,56,high,351,USE2_AVOID,USE2_AVOID,7,0.7674003812013401,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,behavior,non_focal
g05,56,high,351,USE2_HANDWASH20,USE2_HANDWASH20,5,0.6883495833868825,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,behavior,non_focal
g05,56,high,351,USE2_MASK,USE2_MASK,4,0.5150405725910051,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,behavior,non_focal
g05,56,high,351,USE2_SPACE150,USE2_SPACE150,6,0.7957836052638008,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,behavior,non_focal
g05,56,high,351,SEVERITY,SEVERITY,5,0.5026123192603923,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,belief,focal_belief
g05,56,low,383,AFF_FEAR,AFF_FEAR,5,0.8833701784621819,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,affect,non_focal
g05,56,low,383,AFF_WORRY,AFF_WORRY,5,1.1037059346661364,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,affect,non_focal
g05,56,low,383,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.4005454464980334,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,affect,non_focal
g05,56,low,383,USE2_AVOID,USE2_AVOID,6,0.7322948966868015,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,behavior,non_focal
g05,56,low,383,USE2_HANDWASH20,USE2_HANDWASH20,3,0.573844771945557,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,behavior,non_focal
g05,56,low,383,USE2_MASK,USE2_MASK,6,0.731433394260891,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,behavior,non_focal
g05,56,low,383,USE2_SPACE150,USE2_SPACE150,6,0.9553669169833451,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,behavior,non_focal
g05,56,low,383,SEVERITY,SEVERITY,5,0.7169607858782181,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,belief,focal_belief
g05,57,high,407,AFF_FEAR,AFF_FEAR,4,0.8180223210028181,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,affect,non_focal
g05,57,high,407,AFF_WORRY,AFF_WORRY,4,0.8708154366061559,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,affect,non_focal
g05,57,high,407,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,5,0.5687557881498766,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,affect,non_focal
g05,57,high,407,USE2_AVOID,USE2_AVOID,5,0.5539979239852432,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,behavior,non_focal
g05,57,high,407,USE2_HANDWASH20,USE2_HANDWASH20,5,0.5124211808120982,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,behavior,non_focal
g05,57,high,407,USE2_MASK,USE2_MASK,4,0.4354775682513453,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,behavior,non_focal
g05,57,high,407,USE2_SPACE150,USE2_SPACE150,4,0.4837657447413957,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,behavior,non_focal
g05,57,high,407,SEVERITY,SEVERITY,3,0.3636285293789997,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_high,net_g05_w57_high,belief,focal_belief
g05,57,low,336,AFF_FEAR,AFF_FEAR,5,0.8247265213655298,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,affect,non_focal
g05,57,low,336,AFF_WORRY,AFF_WORRY,6,1.1425861919616809,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,affect,non_focal
g05,57,low,336,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.6893503242226129,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,affect,non_focal
g05,57,low,336,USE2_AVOID,USE2_AVOID,7,0.8144648166396213,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,behavior,non_focal
g05,57,low,336,USE2_HANDWASH20,USE2_HANDWASH20,5,0.716960455770601,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,behavior,non_focal
g05,57,low,336,USE2_MASK,USE2_MASK,6,0.8232260058462834,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,behavior,non_focal
g05,57,low,336,USE2_SPACE150,USE2_SPACE150,4,0.964537433083385,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,behavior,non_focal
g05,57,low,336,SEVERITY,SEVERITY,5,0.5542090885757758,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,belief,focal_belief
g05_spearman,55,high,309,AFF_FEAR,AFF_FEAR,5,0.9424332908134457,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,affect,non_focal
g05_spearman,55,high,309,AFF_WORRY,AFF_WORRY,5,0.8573414060673673,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,affect,non_focal
g05_spearman,55,high,309,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,7,0.4716858312193648,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,affect,non_focal
g05_spearman,55,high,309,USE2_AVOID,USE2_AVOID,7,0.6893757655373753,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,behavior,non_focal
g05_spearman,55,high,309,USE2_HANDWASH20,USE2_HANDWASH20,6,0.6115384065270153,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,behavior,non_focal
g05_spearman,55,high,309,USE2_MASK,USE2_MASK,5,0.42693446456132217,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,behavior,non_focal
g05_spearman,55,high,309,USE2_SPACE150,USE2_SPACE150,5,0.7830224264498966,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,behavior,non_focal
g05_spearman,55,high,309,SEVERITY,SEVERITY,6,0.5911662009675385,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,belief,focal_belief
g05_spearman,55,low,376,AFF_FEAR,AFF_FEAR,5,1.124163006379839,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,affect,non_focal
g05_spearman,55,low,376,AFF_WORRY,AFF_WORRY,6,0.87590928819374,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,affect,non_focal
g05_spearman,55,low,376,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.7601992141028806,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,affect,non_focal
g05_spearman,55,low,376,USE2_AVOID,USE2_AVOID,7,0.8213747937616644,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,behavior,non_focal
g05_spearman,55,low,376,USE2_HANDWASH20,USE2_HANDWASH20,6,0.8133081145470586,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,behavior,non_focal
g05_spearman,55,low,376,USE2_MASK,USE2_MASK,5,0.8217600711749714,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,behavior,non_focal
g05_spearman,55,low,376,USE2_SPACE150,USE2_SPACE150,5,0.8786844690469854,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,behavior,non_focal
g05_spearman,55,low,376,SEVERITY,SEVERITY,6,0.5714910308241292,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,belief,focal_belief
g05_spearman,56,high,351,AFF_FEAR,AFF_FEAR,5,0.8260154311938954,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,affect,non_focal
g05_spearman,56,high,351,AFF_WORRY,AFF_WORRY,5,0.8537201966069453,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,affect,non_focal
g05_spearman,56,high,351,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.508524370142751,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,affect,non_focal
g05_spearman,56,high,351,USE2_AVOID,USE2_AVOID,7,0.7616383620155586,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,behavior,non_focal
g05_spearman,56,high,351,USE2_HANDWASH20,USE2_HANDWASH20,6,0.7543989887028356,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,behavior,non_focal
g05_spearman,56,high,351,USE2_MASK,USE2_MASK,4,0.5550579773761931,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,behavior,non_focal
g05_spearman,56,high,351,USE2_SPACE150,USE2_SPACE150,5,0.8299544558162775,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,behavior,non_focal
g05_spearman,56,high,351,SEVERITY,SEVERITY,6,0.5313968683885466,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,belief,focal_belief
g05_spearman,56,low,383,AFF_FEAR,AFF_FEAR,5,0.9084614518165928,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,affect,non_focal
g05_spearman,56,low,383,AFF_WORRY,AFF_WORRY,5,1.0572241654222412,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,affect,non_focal
g05_spearman,56,low,383,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,6,0.4275541332215712,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,affect,non_focal
g05_spearman,56,low,383,USE2_AVOID,USE2_AVOID,6,0.7775515615188316,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,behavior,non_focal
g05_spearman,56,low,383,USE2_HANDWASH20,USE2_HANDWASH20,3,0.558751425186855,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,behavior,non_focal
g05_spearman,56,low,383,USE2_MASK,USE2_MASK,5,0.7414615447608948,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,behavior,non_focal
g05_spearman,56,low,383,USE2_SPACE150,USE2_SPACE150,6,0.926367092737593,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,behavior,non_focal
g05_spearman,56,low,383,SEVERITY,SEVERITY,4,0.6832648679377467,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_low,net_g05_spearman_w56_low,belief,focal_belief
g05_spearman,57,high,407,AFF_FEAR,AFF_FEAR,4,0.8212492272530915,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_high,net_g05_spearman_w57_high,affect,non_focal
g05_spearman,57,high,407,AFF_WORRY,AFF_WORRY,4,0.808271610882186,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_high,net_g05_spearman_w57_high,affect,non_focal
g05_spearman,57,high,407,WORRY_HEALTH_SYSTEM,WORRY_HEALTH_SYSTEM,5,0.5141074316435006,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_high,net_g05_spearman_w57_high,affect,non_focal
g05_spearman,57,high,407,USE2_AVOID,USE2_AVOID,5,0.5019368098298672,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w57_high,net_g05_spearman_w57_high,behavior,non_focal
